id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
1,Wetpaint,web,1,0,0,0,,USA,Seattle,2005,2008,3,39750000,2,1,11,2,0,0,6,5,1,1,1,1,0,0,3,0,1,0,9,4,1,0,0,0,0,1,0,0,0,0,2005
2,AdventNet,enterprise,1,0,0,0,,USA,SF Bay,,,0,0,1,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1996
3,Zoho,software,1,0,0,0,,USA,SF Bay,,,0,0,2,4,4,2,0,1,3,2,1,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2005
4,Digg,news,0,1,0,0,,USA,SF Bay,2005,2011,4,45000000,2,16,11,3,0,1,13,5,0,0,0,0,0,0,0,0,7,0,0,31,1,12,0,1,0,0,1,0,1,0,2004
5,Facebook,social,0,0,1,0,,USA,SF Bay,2004,2011,11,2425700000,36,105,76,15,3,6,148,40,0,2,1,0,0,1,5,0,140,4,12,93,6,24,4,4,0,0,1,0,1,0,2004
6,Omnidrive,network_hosting,0,0,0,1,2008,ISR,SF Bay,2006,2006,1,800000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2005
7,Geni,web,0,1,0,0,,USA,Los Angeles,2007,2009,3,16500000,0,2,0,0,1,0,4,0,0,0,1,0,1,0,3,0,0,0,1,6,0,0,0,0,0,1,3,0,2,1,2006
8,Twitter,social,0,0,1,0,,USA,SF Bay,2007,2011,8,1160166511,11,36,18,19,1,2,65,16,0,0,0,0,0,0,0,0,26,0,9,61,9,10,1,0,0,0,2,0,4,0,2006
9,StumbleUpon,web,0,1,0,0,,USA,SF Bay,2001,2011,4,18500000,2,4,4,0,2,2,13,1,4,0,0,0,0,0,0,0,5,0,10,12,3,0,0,0,0,0,1,0,1,0,2002
10,Gizmoz,web,0,1,0,0,,USA,SF Bay,2007,2009,3,18100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003
11,Scribd,news,1,0,0,0,,USA,SF Bay,2006,2011,5,25762000,1,3,4,0,1,3,7,4,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,1,1,0,2007
12,Helio,mobile,0,1,0,0,,USA,Los Angeles,,,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2005
13,eBay,web,0,0,1,0,,USA,SF Bay,1997,1997,1,6700000,45,67,152,14,6,12,127,104,0,1,0,0,0,0,2,1,33,13,93,132,12,17,3,0,0,1,2,0,1,0,1995
14,Wis.dm,network_hosting,0,0,0,1,2012,USA,TBD,2007,2007,1,5000000,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2006
15,MeetMoi,social,1,0,0,0,,USA,New York,2007,2009,3,5575000,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2007
16,Joost,games_video,0,1,0,0,,USA,New York,2007,2007,1,45000000,2,4,4,0,0,1,10,2,2,0,1,2,0,0,0,0,2,1,2,8,1,2,0,0,0,1,0,0,2,0,2006
17,Plaxo,web,0,1,0,0,,USA,SF Bay,2002,2007,4,28300000,3,12,5,3,0,0,12,5,0,0,0,0,0,0,0,0,6,1,8,8,1,2,0,1,0,1,1,0,0,0,2002
18,Powerset,search,0,1,0,0,,USA,SF Bay,2006,2007,3,22500000,2,7,0,2,1,0,14,0,1,1,1,0,0,0,1,0,4,0,0,9,2,2,0,0,0,0,1,0,0,0,2006
19,Technorati,advertising,1,0,0,0,,USA,SF Bay,2002,2009,7,32100000,0,4,4,2,0,1,5,0,0,1,0,0,0,0,0,0,4,0,3,7,3,1,0,0,0,0,0,0,0,0,2002
20,AddThis,advertising,1,0,0,0,,USA,Washington DC,2006,2011,6,73000000,5,3,8,1,3,1,6,3,1,3,2,0,0,0,4,0,1,0,4,12,1,1,0,0,0,0,0,0,0,0,2004
21,OpenX,advertising,1,0,0,0,,USA,Los Angeles,2007,2013,5,75511200,7,5,16,0,5,2,18,10,1,0,0,0,0,0,0,0,1,0,16,16,1,3,0,0,0,1,0,0,0,0,2008
22,Mahalo,web,1,0,0,0,,USA,Los Angeles,2006,2007,2,21000000,0,3,6,0,0,0,3,4,0,0,0,0,0,1,0,0,0,1,4,6,0,1,0,0,0,1,1,0,1,0,2007
23,Sparter,games_video,0,0,0,1,2008,USA,TBD,,,0,0,2,0,2,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
24,Kyte,games_video,0,1,0,0,,USA,SF Bay,2007,2012,4,23350000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,1,0,0,0,0,0,0,2006
25,Veoh,games_video,0,1,0,0,,USA,San Diego,2005,2008,4,69750000,0,2,6,0,2,1,10,2,2,4,0,0,0,0,2,0,2,1,2,4,2,0,0,2,0,1,1,0,0,0,2004
26,Thoof,web,0,0,0,1,2013,USA,Austin,2007,2007,1,1000000,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,2006
27,Jingle Networks,mobile,0,1,0,0,,USA,New York,2005,2009,7,88651133,2,0,7,1,0,0,5,5,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2005
28,Strands Labs,software,1,0,0,0,,USA,SF Bay,2006,2008,4,55123000,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2003
29,Ning by Glam Media,enterprise,0,1,0,0,,USA,SF Bay,2007,2009,4,119000000,8,7,8,0,0,0,7,5,0,1,0,0,0,0,1,1,5,2,4,15,1,0,1,0,0,1,1,0,0,0,2004
30,Meetup,web,1,0,0,0,,USA,New York,2002,2008,4,18300000,0,0,2,1,1,0,3,3,0,0,0,0,0,0,0,0,1,0,6,7,3,0,0,0,0,1,1,0,0,0,2002
31,LifeLock,security,0,0,1,0,,USA,Phoenix,2006,2012,5,177850000,3,4,11,1,1,1,7,5,0,0,1,1,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,2005
32,Wesabe,web,0,0,0,1,2010,USA,SF Bay,2007,2007,2,4700000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2005
33,Prosper,finance,1,0,0,0,,USA,SF Bay,2005,2013,9,119900000,3,1,13,1,1,2,12,5,0,1,0,0,0,0,1,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,2006
34,Google,search,0,0,1,0,,USA,SF Bay,1998,1999,2,25100000,196,400,318,65,14,34,504,157,0,2,0,1,0,0,3,0,727,18,21,383,17,77,12,0,0,0,0,0,0,0,1998
35,Jajah,mobile,0,1,0,0,,USA,SF Bay,2006,2009,4,33000000,3,4,11,2,0,0,2,3,0,0,0,0,0,0,0,0,2,1,4,11,0,2,1,0,0,0,0,0,0,0,2005
36,YouTube,games_video,0,1,0,0,,USA,SF Bay,2005,2006,2,11500000,5,14,21,6,1,0,19,12,0,2,0,0,0,0,1,0,25,1,7,17,1,2,0,0,0,0,1,0,0,0,2005
37,Stickam,games_video,0,0,0,1,2013,USA,Los Angeles,,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
38,Livestream,games_video,1,0,0,0,,USA,New York,2007,2011,4,14699973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2007
39,Justin.TV,games_video,1,0,0,0,,USA,SF Bay,2007,2013,5,43509994,1,3,0,2,0,0,6,0,0,0,0,1,0,0,1,0,1,0,2,6,0,4,0,0,0,0,0,0,2,0,2006
40,Ustream,games_video,1,0,0,0,,USA,SF Bay,2007,2010,3,60100000,2,2,6,1,2,0,11,5,1,0,0,0,0,0,0,0,1,0,5,7,0,3,1,0,0,0,0,0,0,0,2007
41,AdaptiveBlue,games_video,1,0,0,0,,USA,New York,2007,2012,4,24020000,0,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2007
42,Pando Networks,games_video,1,0,0,0,,USA,New York,2006,2007,2,11000000,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
43,GrandCentral,mobile,0,1,0,0,,USA,SF Bay,2006,2006,1,4000000,2,1,2,0,0,0,4,2,0,0,1,0,1,0,2,0,1,1,1,4,1,1,0,2,0,0,0,0,0,0,2006
44,Gizmo5,public_relations,0,1,0,0,,USA,San Diego,2006,2006,1,6000000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2003
45,Ikan,web,1,0,0,0,,USA,New York,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
46,delicious,web,0,1,0,0,,USA,SF Bay,2005,2005,1,0,0,1,1,0,0,1,2,0,1,1,0,0,0,0,1,0,1,0,4,2,0,1,0,1,0,1,1,0,0,0,2003
47,Adap.tv,advertising,0,1,0,0,,USA,SF Bay,2007,2011,5,48500000,2,1,3,1,0,1,4,6,0,0,0,0,0,0,1,0,0,1,7,10,1,0,0,0,0,0,0,0,0,0,2006
48,Topix,web,1,0,0,0,,USA,SF Bay,2005,2006,2,15000000,1,3,1,0,0,0,4,0,0,1,2,0,2,0,0,0,0,0,4,5,0,1,0,0,0,0,1,0,0,0,2002
49,Jobster,search,0,1,0,0,,USA,Seattle,2005,2008,4,52500000,2,4,2,0,0,1,3,1,0,0,0,0,0,0,0,1,2,0,0,3,1,2,0,0,0,0,1,0,1,0,2004
50,Pownce,web,0,1,0,0,,USA,SF Bay,2008,2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,2,0,2007
51,Revision3,games_video,0,1,0,0,,USA,SF Bay,2006,2007,2,9000000,0,7,2,3,0,2,4,2,1,2,0,0,0,0,0,0,2,1,6,5,1,2,0,1,0,1,3,0,2,0,2005
52,POPSUGAR,web,1,0,0,0,,USA,SF Bay,2006,2011,4,46000000,1,3,3,1,1,2,9,4,1,0,1,0,0,1,1,1,1,0,11,13,2,2,0,0,0,3,1,0,5,0,2006
53,ZenZui,mobile,1,0,0,0,,USA,Seattle,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2007
54,Spock,search,0,1,0,0,,USA,SCHUYLER LAKE,2006,2006,1,7000000,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2006
55,SodaHead,web,1,0,0,0,,USA,Los Angeles,2006,2008,3,12650000,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2007
56,HOT or NOT,web,0,1,0,0,,USA,SF Bay,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2000
57,CastTV,games_video,0,1,0,0,,USA,SF Bay,2006,2007,2,3100000,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2006
58,Amie Street,web,0,1,0,0,,USA,New York,2007,2009,2,3900000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2011
59,Funny Or Die,games_video,1,0,0,0,,USA,SF Bay,2007,2008,4,18000000,0,0,10,1,0,0,4,3,1,0,0,0,0,0,1,0,0,0,4,2,1,0,1,0,0,0,0,1,0,0,2007
60,Surphace,web,0,1,0,0,,USA,New York,2005,2006,2,3500000,1,1,6,0,0,3,5,4,0,2,2,1,0,0,1,0,0,0,4,6,1,0,0,0,0,2,1,0,1,0,2005
61,iContact,messaging,0,1,0,0,,USA,Raleigh-Durham,2006,2010,5,53350000,0,1,11,0,0,1,5,3,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2003
62,MeeVee,games_video,0,1,0,0,,USA,SF Bay,2005,2007,4,25000000,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2000
63,blinkx,games_video,0,0,1,0,,USA,SF Bay,,,0,0,5,2,9,2,1,0,6,4,0,1,0,0,0,0,1,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,2004
64,Mashery,enterprise,0,1,0,0,,USA,SF Bay,2007,2012,6,34700000,5,1,7,0,0,1,5,3,1,0,1,0,0,0,3,1,1,0,3,7,2,1,0,0,0,0,1,2,0,0,2006
65,Buzzster!,web,0,1,0,0,,USA,Boston,,,0,0,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,0,0,2,2,0,1,0,2007
66,ClipBlast!,web,1,0,0,0,,USA,Los Angeles,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2005
67,Yelp,search,0,0,1,0,,USA,SF Bay,2004,2013,7,89969340,5,14,14,0,1,3,29,8,1,2,0,0,0,0,0,0,3,1,5,13,3,1,0,0,0,1,1,0,1,0,2004
68,PropertyMaps.com,web,1,0,0,0,,USA,Austin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2006
69,TripUp,web,0,0,0,1,2008,USA,Los Angeles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
70,Zamzar,web,1,0,0,0,,GBR,London,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,2006
71,Zooomr,web,0,0,0,1,2006,USA,SF Bay,2006,2006,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
72,coRank,web,1,0,0,0,,USA,SF Bay,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
73,Farecast,search,0,1,0,0,,USA,Seattle,2004,2007,3,20600000,1,0,7,0,0,1,4,7,0,4,0,0,0,0,3,0,0,0,1,8,0,0,0,1,0,0,0,0,1,0,2003
74,KickApps,enterprise,0,1,0,0,,USA,New York,2006,2008,3,39007789,2,2,5,2,0,1,3,4,0,1,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2004
75,RockYou,games_video,1,0,0,0,,USA,SF Bay,2006,2012,9,136465336,4,8,12,2,1,3,12,7,1,1,0,0,0,0,1,0,1,1,6,13,2,1,0,0,0,0,0,0,0,0,2005
76,Last.fm,music,0,1,0,0,,GBR,London,2006,2006,1,5000000,1,3,3,1,0,0,7,2,0,1,0,0,0,0,0,0,3,0,0,7,1,1,0,0,0,0,1,1,0,0,2002
77,ConVerdge,enterprise,1,0,0,0,,USA,Los Angeles,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2006
78,Pageflakes,web,0,1,0,0,,USA,SF Bay,2006,2008,2,4100000,6,3,3,0,0,0,4,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2006
79,Squid Labs,web,1,0,0,0,,USA,SF Bay,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2004
80,Swivel,search,0,0,0,1,2010,USA,SF Bay,2006,2007,2,2000000,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2005
81,Slide,public_relations,0,1,0,1,2011,USA,SF Bay,2005,2008,4,78000000,3,5,8,1,0,0,11,0,0,1,0,0,0,0,0,0,10,2,0,16,1,4,0,1,0,0,1,0,0,0,2005
82,SAY Media,advertising,1,0,0,0,,USA,SF Bay,2005,2012,6,60900000,1,2,6,0,2,2,11,5,0,1,0,0,0,1,2,0,1,0,2,15,1,5,0,0,0,0,0,0,0,0,2005
83,Bebo,web,0,1,0,0,,USA,SF Bay,2006,2006,1,15000000,0,4,7,3,0,3,9,3,0,0,0,1,0,0,1,0,3,0,9,10,0,1,1,0,0,0,0,0,0,0,2005
84,Metaweb Technologies,web,0,1,0,0,,USA,SF Bay,2006,2008,2,57000000,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2005
85,Flickr,web,0,1,0,0,,USA,SF Bay,2004,2004,1,0,3,3,4,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,9,6,3,0,1,0,0,1,1,0,1,0,2004
86,WeFi,mobile,1,0,0,0,,USA,Washington DC,2007,2012,3,10000000,1,0,5,0,0,1,0,2,2,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2006
87,Glam Media,web,1,0,0,0,,USA,SF Bay,2004,2013,9,199600000,5,4,9,0,0,3,6,8,1,0,2,0,0,0,0,2,1,0,9,18,1,3,0,0,0,0,0,0,0,0,2003
88,TripHub,web,0,0,0,1,2008,USA,Seattle,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2005
89,CrowdVine,web,1,0,0,0,,USA,SF Bay,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2007
90,FeedBurner,web,0,1,0,0,,USA,Chicago,2004,2005,2,8000000,2,1,7,0,0,0,5,6,1,2,2,0,0,0,2,0,5,0,4,7,0,0,0,3,0,0,1,0,0,0,2004
91,TheFind,ecommerce,1,0,0,0,,USA,SF Bay,2005,2007,3,26000000,9,6,11,0,0,0,11,5,1,4,1,0,0,0,2,1,2,0,5,8,1,0,0,1,0,1,2,0,0,0,2006
92,Zazzle,ecommerce,1,0,0,0,,USA,SF Bay,2005,2007,2,46000000,6,3,5,0,0,0,8,3,0,0,0,0,0,0,1,0,4,0,4,9,3,3,0,0,0,0,0,0,0,0,1999
93,Dogster,web,0,1,0,0,,USA,SF Bay,2006,2006,1,1000000,0,0,3,0,0,0,2,3,0,0,0,0,2,0,1,0,0,0,4,4,2,1,0,0,0,1,3,0,0,0,2004
94,Pandora Media,music,0,0,1,0,,USA,SF Bay,2000,2010,5,56300000,2,3,11,1,1,1,14,11,0,0,0,0,0,0,2,1,0,0,1,16,2,0,0,0,0,0,1,0,0,0,2000
95,MOO.COM,web,1,0,0,0,,GBR,London,2006,2006,1,5000000,1,0,2,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,2004
96,Cafe Press,web,0,0,1,0,,USA,SF Bay,2000,2005,3,15500000,5,3,11,0,1,1,14,6,0,0,0,0,0,0,0,0,0,0,10,8,2,1,0,0,0,0,0,0,0,0,1999
97,PBworks,enterprise,1,0,0,0,,USA,SF Bay,2006,2013,5,10508252,1,2,1,1,0,0,9,2,0,1,0,0,0,0,1,0,1,0,1,4,1,0,1,0,0,0,1,1,0,0,2005
98,Groupsite,software,1,0,0,0,,USA,SF Bay,2009,2009,1,2000000,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2006
99,Seeking Alpha,finance,1,0,0,0,,USA,New York,2006,2009,2,7000000,0,0,6,0,0,0,5,1,0,0,0,0,0,0,2,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,2004
100,adBrite,advertising,0,1,0,1,2001,USA,SF Bay,2004,2012,4,40400000,0,3,4,0,0,1,4,2,0,0,1,0,0,0,0,0,2,0,3,7,2,1,0,0,0,0,0,0,0,1,2003
101,Loomia,web,1,0,0,0,,USA,SF Bay,2005,2009,3,7500000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2004
102,Meebo,web,0,1,0,0,,USA,SF Bay,2005,2010,5,70000000,1,7,5,1,1,1,14,4,0,1,0,0,0,0,3,1,5,1,10,11,0,1,0,0,0,0,1,0,0,0,2005
103,Eventbrite,web,1,0,0,0,,USA,SF Bay,2006,2013,9,139550000,2,8,14,2,0,0,9,3,0,0,0,0,0,0,3,0,0,0,8,12,3,4,1,0,0,1,1,1,0,0,2006
104,Newsvine,web,0,1,0,0,,USA,Seattle,2005,2005,1,1250000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2005
105,LinkedIn,social,0,0,1,0,,USA,SF Bay,2003,2013,8,199983710,23,46,38,8,0,9,69,20,3,0,1,0,0,0,7,0,12,0,9,50,6,8,0,0,0,1,3,0,1,0,2003
106,FlickIM,mobile,1,0,0,0,,USA,SF Bay,2007,2007,1,1600000,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2006
107,LifeShield,web,1,0,0,0,,USA,TBD,2004,2009,5,35050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2004
108,Terabitz,web,1,0,0,0,,USA,SF Bay,2007,2007,1,10000000,0,2,4,4,0,0,4,2,1,3,1,1,0,0,3,0,1,0,1,3,0,0,0,1,0,2,1,0,0,0,2006
109,Healthline Networks,medical,1,0,0,0,,USA,SF Bay,2006,2010,3,49000000,4,0,11,2,2,2,17,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2002
110,Box,network_hosting,1,0,0,0,,USA,SF Bay,2006,2013,9,408600000,11,14,27,6,2,2,24,13,0,0,1,0,0,0,0,0,3,0,3,21,3,2,0,0,0,0,0,0,0,0,2005
111,iLike,games_video,0,1,0,0,,USA,Seattle,2002,2006,3,16500000,4,6,1,0,0,0,11,2,0,2,0,0,0,0,2,0,6,0,0,11,0,5,0,0,0,1,1,0,0,0,2002
112,Carbonite,network_hosting,0,0,1,0,,USA,Boston,2006,2010,6,65998900,5,6,10,1,0,1,9,6,0,1,1,0,0,0,1,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,2006
113,Conduit,advertising,1,0,0,0,,USA,SF Bay,2006,2012,3,109800000,1,2,6,2,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2005
114,Spot Runner,advertising,1,0,0,0,,USA,Los Angeles,2006,2008,3,101000000,1,1,5,0,0,0,8,2,0,0,1,0,0,0,3,1,1,0,5,9,3,1,0,0,1,0,0,0,0,0,2004
115,Kaboodle,ecommerce,0,1,0,0,,USA,SF Bay,2005,2007,3,5000000,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2005
116,GigaOM,news,1,0,0,0,,USA,SF Bay,2006,2011,5,14325000,1,1,5,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,1,0,0,0,2006
117,Redfin,real_estate,1,0,0,0,,USA,Seattle,2005,2013,7,96820000,4,11,10,2,2,0,12,6,0,1,0,0,0,0,1,0,4,0,1,12,1,1,0,1,0,0,0,0,1,0,2004
118,Wink,search,0,1,0,0,,USA,SF Bay,2005,2005,1,6200000,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,2004
119,Go2Web20,web,1,0,0,0,,ISR,Tel Aviv,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,2006
120,Seesmic,web,0,1,0,0,,USA,SF Bay,2007,2011,3,16000000,1,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,10,2,0,0,0,0,1,0,0,0,0,2007
121,TechnologyGuide,web,0,1,0,0,,USA,Cincinnati,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,2001
122,Hotelicopter,web,0,0,0,1,2012,USA,Charlottesville,2008,2011,2,5000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
123,Zvents,web,0,1,0,0,,USA,SF Bay,2005,2008,3,31200000,0,2,5,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,2005
124,MotionDSP,software,1,0,0,0,,USA,SF Bay,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
125,Techmeme,web,1,0,0,0,,USA,SF Bay,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
126,Eventful,web,1,0,0,0,,USA,San Diego,2005,2008,3,19600000,1,0,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,2004
127,Oodle,social,0,1,0,0,,USA,SF Bay,2006,2010,4,23100000,5,2,5,0,0,1,11,4,0,0,1,0,0,0,0,1,3,1,1,6,0,0,0,0,1,0,1,0,0,0,2004
128,oDesk,web,1,0,0,0,,USA,SF Bay,2006,2013,5,46650000,7,11,7,3,0,2,16,5,2,4,0,0,0,0,0,0,1,2,8,7,1,1,0,0,0,0,1,0,0,0,2005
129,Simply Hired,search,1,0,0,0,,USA,SF Bay,2004,2009,4,22300000,2,1,1,2,1,1,5,3,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,2004
130,ooma,hardware,1,0,0,0,,USA,SF Bay,2005,2012,7,81312915,13,2,5,0,0,0,15,5,0,0,1,0,0,0,0,0,0,0,3,11,1,1,0,0,0,0,1,0,0,0,2004
131,Ujogo,web,0,0,0,1,2012,USA,SF Bay,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007
132,Recipezaar,web,0,1,0,0,,USA,Vashon,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1999
133,Gumiyo,web,1,0,0,0,,USA,Los Angeles,2007,2007,1,0,3,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2006
